Category,Question Text (Temporary),Answer Text,Option 1,Option 2,Option 3,Question Image Link,Difficulty Level
Ruby,Which is a valid way to declare a variable?,a = 1,let a = 1,int a; a = 1;,const a = 1;,https://drive.google.com/open?id=1WfT0GivlA70YpIfzBR8ZpbS2dJH0mplF,1
Ruby,"What does self refer to in the following?class Book  all_books = []  def initialize(title, author)    self.title = title    self.author = author  endend",an instance of the book class,Book,title,book,https://drive.google.com/open?id=19uJhguFqECXquurNSnRfQlcWmEwLBDNQ,1
Ruby,Which of the following is not a valid string method?,"""hello"".count","""hello"".size","""hello"".length","""hello"".reverse",https://drive.google.com/open?id=18IDye2zRcNqFgJ9ZlZ-7yEe--t14ZR93,2
Ruby,Which of the following is not a valid method?,"[1,2,3].includes?(2)","[1,2,3].map{ |el| el * 2 }","[1,2,3].each { |el| console.log(el) }","[1,2,3].reverse",https://drive.google.com/open?id=1tyolWCBr6OPhkCaiacBTEQlc78R_YOtq,1
Ruby,Which of the following methods mutates the original array?,"[1,2,3] << [4]","[1,2,3].dup << [4]","[1,2,3].slice(0, 1)","[1,2,3].uniq",https://drive.google.com/open?id=1eYI33GDfY1z6Y6Rfa_amP8NuFMHIWqzV,1
Ruby,"What does the following return? cat = { ""owner"": ""Susan"", ""age"": 30} cat.keys","[""owner"", ""age"", ""fluff_factor""]","[""Susan"", ""age""]","[""Susan"", 30]",[],https://drive.google.com/open?id=152V_LENaS3NddjF93K4QxbYiwAMxBTrr,1
Ruby,Which of the following allows read access to an instance from other methods from inside the class?,attr_reader :name,@name,attr_accessor :name,attr_writer :name,https://drive.google.com/open?id=1G36eCkq-JtaOBHCS6B8xAlHPHk9tNa7S,1
Ruby,What does the initialize method do?,creates the blueprint for an instance of a class,initializes ruby in the terminal,creates a class,sets a class method,https://drive.google.com/open?id=13tYKDsDFELFIxaXu5ZGLzW33B1levR0n,2
Ruby,Which expression evalues to true?,!!false || !!1,false || !!1,!1 && true,true && (!1 == true),https://drive.google.com/open?id=1lCSt87kRSu4F94GuY3vhXyd-KtAZp8oT,1
Ruby,Which expression evalues to 1?,!!false || 1,0 || !!1,1 && !!1,true && (!1 == true),https://drive.google.com/open?id=1a2HfUdjtRxiBqI-FUwIVWlUi6RvipXvJ,1
Ruby,What does include do in modules?,extends the module methods as instance methods,extends the module methods as class methods,includes a relative file,checks if an element is included in an array,https://drive.google.com/open?id=1GY633uxGnwFKqg4RVvDTBRgljzx9QZbU,2
Ruby,What does extend do in modules?,extends the module methods as class methods,extends the module methods as instance methods,includes a relative file,checks if an element is included in an array,https://drive.google.com/open?id=1eh23z_MA0cnA2QTTK6uoL_08t6YTVKPa,2
Ruby,What is the command to open pry in the terminal?,pry,open pry,pry .,ruby pry,https://drive.google.com/open?id=1hAWA_So7TOfdUb6EhjhYt8EBc7Us_oG6,1
Ruby,What is the command to open irb in the terminal?,irb,open irb,irb .,ruby irb,https://drive.google.com/open?id=1Bm4vVr6U3nskEx3KP3XjjUshBniRb4Wc,1
Ruby,Which class is inheriting from User?,class Student < User end,Student inherit from User,User extend Student,class User > Student,https://drive.google.com/open?id=1z2Um9ajeVbdvhRNG8bhGxr3eTj84jaPi,1
Ruby,"In inheritance, what is the name of the parent class?",super class,origin class,superior class,main class,https://drive.google.com/open?id=1BzYC3SM97DiN-U4ch5Rq7eZeY0OA-EHd,1
Ruby,"What is not an error type?",ErrorClass,NoMethodError,ArgumentError,SyntaxError,https://drive.google.com/open?id=1TDB2cZwE4_uajzXvZH4zXRVo4-sDB9t_,2
Ruby,How does one print text on the same line?,print,puts,prints,console.log,https://drive.google.com/open?id=1fe-HbUaR2ytPTrcRvNRvQ3IhJ32bY2Gb,1
Ruby,What terminal command tells you your ruby version?,ruby -v,version: ruby,ruby -version,#NAME?,https://drive.google.com/open?id=1wPLASN1d88UAh6mMQoKg7qZ5ryCdc5Fp,1
Ruby,What is not a ruby version manager?,rubyvm,rvm,rbenv,chruby,https://drive.google.com/open?id=1ZMOcD4cdZUTWyapXqwRpf6ANIuleIZ6p,2
Ruby,What is another name for map?,collect,inject,reduce,.each_with_index,,1
Ruby,What is another name for collect?,map,inject,reduce,.each_with_index,,1
Ruby,Which method removes nil values in an array?,compact,inject,reduce,split,,2
Ruby,What does the following return? 10.times { |t| puts 'hello' },10,nil,FALSE,undefined,,2
Ruby,What is not a valid class?,UndefinedClass,NilClass,FalseClass,TrueClass,,2
Javascript,When would you want to use a stub function?,When you need to maintain the contract with legacy code but need a quick enhancement to a function,Whenever you want to extend a third party library,Any time you need a new function,When you want to copy a global object to local code,,1
Javascript,How would you pass data to a system event such as click?,Pass the data as the second parameter to the .on() method,Pass the data as the second parameter to the .trigger() method,Attach the data as an attribute to the DOM element,Intercept base click event and pass data along in a custom event,,1
Javascript,What's the benefit of having an exposed object that contains default values?,New behavior is possible without changing legacy code,Smaller code block in the function that uses the default values,"There is no benefit, it's just bloated code",It only helps future code that makes use of an object parameter,,3
Javascript,Which one of the following can not be used to attach an event an event handler?,.handler(),.bind(),.live(),.delegate(),,3
Javascript,When is a callback function appropriate?,When making use of a result from a specific function,There's never an appropriate time to use callback functions,When multiple processes have completed,When making global notifications of completion,,2
Javascript,How can your code know when dynamically loaded content is fully loaded?,Trigger a custom event from within the dynamically loaded content,Use a callback function with the jQuery.get() function,Make use of the jQuery.notifyMe() function,There's no real way to know - you have to use a setTimeout to monitor the DOM,,2
Javascript,When should you use .stopImmediatePropagation() instead of .stopPropagation()?,To prevent other event handlers for the same event from firing,To prevent the default behavior of the current element,Whenever you want to abort the current handler function,"There is no difference, they are functionally equivelant",,1
Javascript,Why is delegation useful?,Reduce number of handler functions in memory,Innermost elements handle all events individually,,Lets other modules handle events for us,,2
Javascript,How do you create a new object in JavaScript?,All of these,var obj = {};,You chose: Incorrect choice:,var obj = Object.create(Object.prototype);,,2
Javascript,What is the main difference between dot notation and bracket notation?,Bracket notation allows you to use variables for the property name.,Dot notation is significantly faster.,,No difference,,3
Javascript,Which pattern is used to create new objects with their own object scope?,Constructor,Module,,Scope,,3
Javascript,Who originally wrote JavaScript?,Brendan Eich,The Gang of Four,John Resig,Douglas Crockford,,1
Javascript,"If you want to add a property to an object after the object has been created, you _________.",just simply do it,must first modify the class or function from which the object is derived,must create a new object with the correct shape and copy the values from the old object,must select the object using querySelector,,3
Javascript,Which of the following is valid syntax for accessing the 'First Name' property on the 'cat' object?,cat['First Name'],"Object.getPropertyValue(cat, 'First Name')",cat.firstName,cat('First Name'),,3
Javascript,Given the following code:,3,null,5,undefined,,1
Javascript,"function Cat(name, color) {",3,null,undefined,4,,1
Javascript,this.name = name,It is used to prevent the configurable and enumerable properties from being changed.,"It is used to prevent the writable, enumerable, and configurable attributes from being changed.",It is used to prevent the writable and enumerable attributes from being changed.,It is used to prevent the value of the property from being changed.,,3
Javascript,this.color = color,student.fullName = 'John Doe',student.setFullName('John Doe'),student.fullName('John Doe'),student.fullName.set('John Doe'),,1
Javascript,},It determines whether a property shows up in a for...in loop.,It is used to denote properties that contain lists such as arrays.,It is used to create enum data types.,It is used to create counter properties.,,3
Javascript,Cat.prototype.age = 3,"They are just like any other function, but they use the 'this' keyword to assign values to new objects.","They are just like any other function, except that they are used only in classes.",They are a special type of function and must be prefixed with the 'constructor' keyword.,They are a special type of function and must be prefixed with the 'const' keyword.,,3
Javascript,"var fluffy = new Cat('Fluffy', 'White')",Object Literals,Constructor Functions,Object.create,Classes,,3
Javascript,Cat.prototype = {age: 5},super(),this.protoype(),this.protoype.constructor(),base(),,1
Javascript,What does fluffy.age return?,There's an error,Equal,undefined,null,,2
Javascript,fluffy.age = 4,no,yes,yes no,(nothing),,2
Javascript,What does muffin.age return?,break,catch,stop,continue,,3
Javascript,);,Call event.preventDefault();,Return false,set event.result = true;,Set event.handled = true;,,2
Javascript,console.log(message);,It executes a function in a base class.,It executes a function with the highest priority.,It optimizes a function call.,It overrides a base class function.,,2
Javascript,console.log('no');,import $ from 'jquery';,import default from 'jquery';,import 'jquery';,import { $ } from 'jquery';,,1
Javascript,Which statement will fire off a user defined error message to be caught in a try/catch/finally statement?,throw(err);,raise(err);,exception(err);,error(err);,,2
Javascript,How would you create a JSON string from a JavaScript object?,JSON.stringify(obj);,obj.parseJSON();,JSON.parse(obj);,obj.toJSON();,,3
Javascript,What is an important consideration when creating a final build of your JavaScript application to go public on the internet?,Protect your code with minification and obfuscation,Encrypt your code with a secure key,Secure your code with a password,Convert your code into a native executable,,3
Javascript,What output is produced?,none,yes yes yes,yes yes yes yes,yes,,3
Javascript,let timeoutId = setTimeout( function() {,"A high-level, interpreted programming language",The standard markup language for creating websites and web applications,A style sheet language used for describing the presentation of a document written in a markup language,A programming language for server-side applications,,1
Javascript,console.log('yes');,"JavaScript was marketed as the companion language to Java, but their implementations are not the same.",You use JavaScript for websites and Java for when you need to use media files.,JavaScript is the web version of the Java language.,JavaScript is the same thing as Java.,,2
Javascript,"}, 3000);",It can change the content of a page without reloading the page.,It can contain links to other documents.,It can change the color of HTML elements after reloading the page.,It can remove elemets from a page.,,2
HTML/CSS,clearTimeout(timeoutId);,Uniform Resource Locator,Universal Relative Link,Unilateral Resource Locator,Unilateral Relative Link,,2
HTML/CSS,What is HTML?,A programming language for server-side applications,The standard markup language for creating websites and web applications,A high-level programming language for creating mobile applications,A scripting language for styling web components,,3
HTML/CSS,What is CSS?,A style sheet language used for describing the presentation of a document written in a markup language,A programming language for server-side applications,A high-level programming language for creating mobile applications,The standard markup language for creating websites and web applications,,2
HTML/CSS,What is the Canvas in a web page?,It is an HTML element.,It is a JavaScript object.,It is a CSS property.,It is a parent tag.,,3
HTML/CSS,What is a web server?,A computer that runs special software that enables it to expose resources to the internet,Any computer that is connected to the internet is a web server,A special computer that runs in a university,A computer connected to the internet.,,1
HTML/CSS,"What is a ""responsive"" web page?","A web page that changes appearance, based on the screen size it is viewed with","A web page that changes appearance, based on the programming language that was used to create it",A web page that the user can interact with,A web page that responds.,,1
HTML/CSS,Why would you use a CSS library?,To reuse already existing styles,To optimize search machine results,To minimize the size of your web site,To checkout CSS books.,,1
HTML/CSS,What does HTML stand for?,yper Text Markup Language,Hyperlinks and Text Markup Language,Home Tool Markup Language,Hot Text Maker Language,,1
HTML/CSS,What is the correct HTML element for the largest heading?,<h1>,<heading>,<head>,<h6>,,2
HTML/CSS,Who is making the Web standards?,The World Wide Web Consortium,Mozilla,Google,Microsoft,,1
HTML/CSS,What is the correct HTML element for inserting a line break?,<br>,<break>,<lb>,<brk>,,3
